id	lemma	pos
770	deform	v
771	defraud	v
772	defray	v
773	defuse	v
774	defy	v
775	degenerate	v
776	degrade	v
777	delay	v
778	delegate	v
779	delete	v
780	deliberate	v
781	delight	v
782	delimit	v
783	delineate	v
784	deliver	v
785	deluge	v
786	delve	v
787	demand	v
788	demarcate	v
789	demise	v
790	demo	v
791	demolish	v
792	demonstrate	v
793	denote	v
794	denounce	v
795	dent	v
796	deny	v
797	depart	v
798	depend	v
799	depict	v
800	deplete	v
801	deploy	v
802	deport	v
803	depose	v
804	deposit	v
805	depress	v
806	deprive	v
807	depute	v
808	derail	v
809	derive	v
810	descend	v
811	describe	v
812	desegregate	v
813	desert	v
814	deserve	v
815	design	v
816	designate	v
817	desire	v
818	desist	v
819	desolate	v
820	despair	v
821	despatch	v
822	despise	v
823	destabilise	v
824	destabilize	v
825	destroy	v
826	destruct	v
827	detach	v
828	detail	v
829	detain	v
830	detect	v
831	deter	v
832	deteriorate	v
833	determine	v
834	dethrone	v
835	detonate	v
836	detour	v
837	detox	v
838	detract	v
839	devalue	v
840	devastate	v
841	develop	v
842	deviate	v
843	devil	v
844	devise	v
845	devolve	v
846	devote	v
847	devour	v
848	diagnose	v
849	diagram	v
850	dial	v
851	dicker	v
852	dictate	v
853	diddle	v
854	die	v
855	diet	v
856	differ	v
857	differentiate	v
858	diffuse	v
859	dig	v
860	digest	v
861	digitize	v
862	dike	v
863	dilute	v
864	dim	v
865	dimension	v
866	diminish	v
867	dimple	v
868	din	v
869	dine	v
870	ding	v
871	dip	v
872	direct	v
873	dirty	v
874	disable	v
875	disadvantage	v
876	disagree	v
877	disallow	v
878	disappear	v
879	disappoint	v
880	disapprove	v
881	disarm	v
882	disarray	v
883	disassociate	v
884	disavow	v
885	disband	v
886	discard	v
887	discern	v
888	discharge	v
889	discipline	v
890	disclose	v
891	discolor	v
892	disconnect	v
893	discontinue	v
894	discount	v
895	discourage	v
896	discourse	v
897	discover	v
898	discredit	v
899	discriminate	v
900	discuss	v
901	disdain	v
902	disembark	v
903	disengage	v
904	disfavor	v
905	disgrace	v
906	disguise	v
907	disgust	v
908	dish	v
909	dishonor	v
910	disintegrate	v
911	dislike	v
912	dislodge	v
913	dismantle	v
914	dismay	v
915	dismember	v
916	dismiss	v
917	dismount	v
918	disobey	v
919	disown	v
920	dispatch	v
921	dispel	v
922	dispense	v
923	disperse	v
924	displace	v
925	display	v
926	dispose	v
927	disprove	v
928	dispute	v
929	disqualify	v
930	disregard	v
931	disrespect	v
932	disrupt	v
933	diss	v
934	dissect	v
935	disseminate	v
936	dissent	v
937	dissipate	v
938	dissociate	v
939	dissolve	v
940	dissuade	v
941	distance	v
942	distill	v
943	distinguish	v
944	distort	v
945	distract	v
946	distribute	v
947	distrust	v
948	disturb	v
949	ditch	v
950	ditto	v
951	dive	v
952	diverge	v
953	diversify	v
954	divert	v
955	divest	v
956	divide	v
957	divine	v
958	divorce	v
959	divulge	v
960	dock	v
961	docket	v
962	doctor	v
963	document	v
964	dodge	v
965	dog	v
966	dogfight	v
967	dominate	v
968	don	v
969	donate	v
970	doodle	v
971	doom	v
972	dope	v
973	dose	v
974	dot	v
975	double	v
976	doubt	v
977	dovetail	v
978	downgrade	v
979	download	v
980	downplay	v
981	downsize	v
982	dowse	v
983	draft	v
984	drag	v
985	dragoon	v
986	drain	v
987	drape	v
988	draw	v
989	dread	v
990	dream	v
991	dredge	v
992	dribble	v
993	drift	v
994	drill	v
995	drink	v
996	drip	v
997	drive	v
998	drizzle	v
999	drone	v
1000	droop	v
1001	drop	v
1002	dropkick	v
1003	drown	v
1004	drudge	v
1005	drug	v
1006	drum	v
1007	dry	v
1008	dub	v
1009	duck	v
1010	duel	v
1011	dull	v
1012	dump	v
1013	dunk	v
1014	dupe	v
1015	duplicate	v
1016	dust	v
