id	lemma	pos
1001	boxwood	n
1002	boxy	a
1003	boy	n
1004	boycott	n
1005	boycott	v
1006	boyfriend	n
1007	boyhood	n
1008	boyish	a
1009	bozo	n
1010	bpm	n
1011	bra	n
1012	brace	n
1013	brace	v
1014	braced	a
1015	bracelet	n
1017	bracing	a
1018	bracing	n
1019	bracken	n
1020	bracket	n
1021	bracket	v
1022	brackish	a
1023	brad	n
1024	brae	n
1025	brag	a
1026	brag	n
1027	brag	v
1028	bragging	a
1029	bragging	n
1030	brahman	n
1031	brahmin	n
1032	braid	n
1033	braid	v
1034	braided	a
1035	braiding	n
1036	braille	n
1037	braille	v
1038	brain	n
1039	brain	v
1040	braincase	n
1041	brainchild	n
1042	brainiac	n
1043	brainstem	n
1044	brainstorm	n
1045	brainstorm	v
1046	brainstorming	n
1047	brainwash	v
1048	brainwashed	a
1049	brainwashing	n
1050	brainy	a
1051	braised	a
1052	brake	n
1053	brake	v
1054	brakeman	n
1056	bramble	n
1057	bran	n
1058	branch	n
1059	branch	v
1060	branched	a
1061	branching	a
1062	branching	n
1063	brand	n
1064	brand	v
1065	branded	a
1066	branding	n
1067	brandy	n
1068	brash	a
1070	brasserie	n
1071	brassy	a
1072	brat	n
1073	bravado	n
1074	brave	a
1075	brave	n
1076	brave	v
1077	bravery	n
1078	bravo	n
1079	bravo	v
1080	bravura	n
1081	brawl	n
1082	brawl	v
1083	brawler	n
1084	brawn	n
1085	bray	n
1086	bray	v
1087	brazen	a
1088	brazen	v
1089	brazier	n
1090	breach	n
1091	breach	v
1092	bread	n
1093	bread	v
1094	breadfruit	n
1095	breadth	n
1096	breadwinner	n
1097	break	n
1098	break	v
1099	breakage	n
1100	breakaway	a
1101	breakaway	n
1102	breakdown	n
1103	breaker	n
1105	breakfast	n
1106	breakfast	v
1107	breaking	n
1108	breakneck	a
1109	breakout	n
1110	breakthrough	n
1111	breakup	n
1112	breakwater	n
1113	bream	n
1114	breast	n
1115	breast	v
1116	breasted	a
1117	breastplate	n
1118	breaststroke	n
1119	breaststroke	v
1120	breath	n
1121	breathe	v
1122	breathed	a
1123	breather	n
1124	breathing	a
1125	breathing	n
1126	breathless	a
1127	breathtaking	a
1128	breech	n
1129	breeches	n
1130	breed	n
1131	breed	v
1132	breeder	n
1133	breeding	a
1134	breeding	n
1135	breeze	n
1136	breeze	v
1137	breezy	a
1139	brevity	n
1140	brew	n
1141	brew	v
1142	brewer	n
1143	brewery	n
1144	brewing	n
1145	briar	n
1146	bribe	n
1147	bribe	v
1148	bribery	n
1149	brick	n
1150	brick	v
1151	bricklayer	n
1152	brickwork	n
1153	brickyard	n
1154	bridal	a
1155	bridal	n
1156	bride	n
1157	bridegroom	n
1158	bridesmaid	n
1159	bridge	n
1160	bridge	v
1161	bridgehead	n
1162	bridle	n
1163	bridle	v
1164	brief	a
1165	brief	n
1166	brief	v
1167	briefcase	n
1168	briefing	n
1170	brier	n
1171	brig	n
1172	brigade	n
1173	brigade	v
1174	brigadier	n
1175	brigand	n
1176	bright	a
1177	brighten	v
1179	brilliance	n
1180	brilliant	a
1181	brim	n
1182	brim	v
1183	brimming	a
1184	brimstone	n
1185	brindle	a
1186	brine	n
1187	brine	v
1188	bring	v
1189	bringing	n
1190	brink	n
1191	brio	n
1192	brisk	a
1193	brisk	v
1194	bristle	n
1195	bristle	v
1196	bristly	a
1197	brit	n
1198	brittle	a
1199	brittle	n
1200	broach	n
1201	broach	v
1202	broached	a
1203	broad	a
1204	broad	n
1205	broadband	a
1206	broadcast	n
1207	broadcast	v
1208	broadcaster	n
1209	broadcasting	n
1210	broaden	v
1211	broadening	n
1212	broadleaf	a
1213	broadsheet	n
1214	broadside	a
1215	broadside	n
1216	broadside	v
1217	brocade	n
1218	broccoli	n
1219	brochure	n
1220	broiler	n
1221	broke	a
1222	broken	a
1223	broker	n
1224	broker	v
1225	brokerage	n
1226	bromide	n
1227	bromine	n
1228	bronc	n
1229	bronchial	a
1231	bronco	n
1232	bronze	a
1233	bronze	n
1234	bronze	v
1235	bronzy	a
1236	brooch	n
1237	brood	n
1238	brood	v
1239	brooding	a
1240	brooding	n
1241	broodmare	n
1242	brook	n
1243	brook	v
1244	broom	n
1245	broom	v
1246	broomstick	n
1247	broth	n
1248	brothel	n
1249	brother	n
1250	brotherhood	n
1251	brotherly	a
1252	brow	n
